Month;"Avg. Players";Gain;"% Gain";Peak Players;Game;Hours Played;Incremento;
08-16;347229.3;-6548.3;-1.85;599095;Counter-Strike: Global Offensive;371.204.256;no;
07-16;353777.6;19466.5;5.82;636056;Counter-Strike: Global Offensive;371.202.999;si;
06-16;334311.1;-4427.3;-1.31;579110;Counter-Strike: Global Offensive;371.201.681;no;
05-16;338738.4;-37057.5;-9.86;668612;Counter-Strike: Global Offensive;371.200.437;no;
04-16;375795.9;-3631.1;-0.96;850485;Counter-Strike: Global Offensive;371.199.227;si;
03-16;379427;3141.9;0.83;737599;Counter-Strike: Global Offensive;371.197.862;no;
02-16;376285;10913.9;2.99;738969;Counter-Strike: Global Offensive;371.196.496;si;
01-16;365371.1;-12076;-3.2;667432;Counter-Strike: Global Offensive;371.195.005;no;
12-15;377447.1;16521.2;4.58;823694;Counter-Strike: Global Offensive;371.193.753;si;
11-15;360925.9;-1840.2;-0.51;786707;Counter-Strike: Global Offensive;371.192.278;si;
10-15;362766.1;6860.8;1.93;732093;Counter-Strike: Global Offensive;371.190.781;si;
09-15;355905.3;-1629.9;-0.46;725939;Counter-Strike: Global Offensive;371.189.474;no;
08-15;357535.2;28002.9;8.5;819902;Counter-Strike: Global Offensive;371.188.170;si;
07-15;329532.4;-14623.6;-4.25;541181;Counter-Strike: Global Offensive;371.186.905;no;
06-15;344156;26869.7;8.47;610401;Counter-Strike: Global Offensive;371.185.414;no;
05-15;317286.3;25537.5;8.75;677701;Counter-Strike: Global Offensive;371.184.098;si;
04-15;291748.7;23752.4;8.86;568556;Counter-Strike: Global Offensive;371.182.731;no;
03-15;267996.3;28061.7;11.7;595439;Counter-Strike: Global Offensive;371.181.292;si;
02-15;239934.6;5864;2.51;455508;Counter-Strike: Global Offensive;371.179.987;si;
01-15;234070.7;50481.2;27.5;443188;Counter-Strike: Global Offensive;371.178.529;si;
12-14;183589.5;36260.4;24.61;367634;Counter-Strike: Global Offensive;371.177.043;si;
11-14;147329.1;13791.4;10.33;348018;Counter-Strike: Global Offensive;371.175.755;si;
10-14;133537.7;2503;1.91;260613;Counter-Strike: Global Offensive;371.174.314;si;
09-14;131034.7;-2151.1;-1.62;242494;Counter-Strike: Global Offensive;371.172.916;no;
08-14;133185.8;27047.8;25.48;277192;Counter-Strike: Global Offensive;371.171.592;si;
07-14;106138;21974.4;26.11;193613;Counter-Strike: Global Offensive;371.170.183;si;
06-14;84163.6;-761.4;-0.9;164134;Counter-Strike: Global Offensive;371.168.864;no;
05-14;84925;6044.5;7.66;170137;Counter-Strike: Global Offensive;371.167.536;si;
04-14;78880.5;8737.2;12.46;142526;Counter-Strike: Global Offensive;371.166.188;no;
03-14;70143.3;10352;17.31;164495;Counter-Strike: Global Offensive;371.164.816;si;
02-14;59791.4;4164;7.49;119764;Counter-Strike: Global Offensive;371.163.586;si;
01-14;55627.3;8839.1;18.89;102084;Counter-Strike: Global Offensive;371.162.212;si;
12-13;46788.3;16897.8;56.53;96298;Counter-Strike: Global Offensive;371.160.943;si;
11-13;29890.5;1988.4;7.13;92279;Counter-Strike: Global Offensive;371.159.622;si;
10-13;27902.1;223.2;0.81;53263;Counter-Strike: Global Offensive;371.158.157;si;
09-13;27678.9;1717.1;6.61;52052;Counter-Strike: Global Offensive;371.156.682;si;
08-13;25961.8;5469.3;26.69;50511;Counter-Strike: Global Offensive;371.155.300;si;
07-13;20492.5;2372.7;13.09;42149;Counter-Strike: Global Offensive;371.153.899;si;
06-13;18119.8;-590.5;-3.16;33700;Counter-Strike: Global Offensive;371.152.568;no;
05-13;18710.3;2704.3;16.9;53379;Counter-Strike: Global Offensive;371.151.319;si;
04-13;16006;46.1;0.29;31966;Counter-Strike: Global Offensive;371.150.044;no;
03-13;15959.9;-1412.8;-8.13;32166;Counter-Strike: Global Offensive;371.148.735;no;
02-13;17372.7;1208.5;7.48;35238;Counter-Strike: Global Offensive;371.147.328;si;
01-13;16164.2;2084.8;14.81;31359;Counter-Strike: Global Offensive;371.146.055;si;
12-12;14079.4;-54.7;-0.39;27553;Counter-Strike: Global Offensive;371.144.789;no;
11-12;14134.1;3394.6;31.61;50533;Counter-Strike: Global Offensive;371.143.312;si;
10-12;10739.5;-5261.3;-32.88;20850;Counter-Strike: Global Offensive;371.141.967;no;
09-12;16000.8;525.4;3.39;36057;Counter-Strike: Global Offensive;371.140.551;no;
08-12;15475.4;14542.8;1559.43;52261;Counter-Strike: Global Offensive;371.139.158;si;
07-12;932.6;-;-;1642;Counter-Strike: Global Offensive;371.137.854;no;
09-21;17980;-1330.7;-6.89;30910;Fallout4;13.252.528;no;
08-21;19310.7;5277.6;37.61;34180;Fallout4;13.251.254;si;
07-21;14033.1;1602.6;12.89;20199;Fallout4;13.249.993;si;
06-21;12430.5;-704.2;-5.36;19487;Fallout4;13.248.644;no;
05-21;13134.7;524.8;4.16;21237;Fallout4;13.247.235;si;
04-21;12609.9;-32.8;-0.26;19732;Fallout4;13.245.878;no;
03-21;12642.7;-1130.5;-8.21;20908;Fallout4;13.244.423;no;
02-21;13773.1;-1310.8;-8.69;21274;Fallout4;13.243.010;no;
01-21;15083.9;624.6;4.32;23877;Fallout4;13.241.515;si;
12-20;14459.4;-2155.8;-12.97;23305;Fallout4;13.240.265;no;
11-20;16615.1;1557.5;10.34;26621;Fallout4;13.238.999;no;
10-20;15057.6;2185.4;16.98;29702;Fallout4;13.237.585;si;
09-20;12872.2;-2344.6;-15.41;19804;Fallout4;13.236.236;no;
08-20;15216.8;68.4;0.45;24206;Fallout4;13.234.943;si;
07-20;15148.4;2224.2;17.21;23204;Fallout4;13.233.647;si;
06-20;12924.1;-2211.9;-14.61;20948;Fallout4;13.232.217;no;
05-20;15136.1;-850.5;-5.32;23912;Fallout4;13.230.735;no;
04-20;15986.5;1641.3;11.44;24455;Fallout4;13.229.376;si;
03-20;14345.2;554.6;4.02;24354;Fallout4;13.228.001;si;
02-20;13790.6;-585.9;-4.08;21988;Fallout4;13.226.582;no;
01-20;14376.5;397.3;2.84;23023;Fallout4;13.225.188;no;
12-19;13979.2;975.1;7.5;23706;Fallout4;13.223.774;si;
11-19;13004.1;868.1;7.15;22661;Fallout4;13.222.313;no;
10-19;12136.1;167.6;1.4;23275;Fallout4;13.220.854;si;
09-19;11968.4;-2829;-19.12;20097;Fallout4;13.219.360;no;
08-19;14797.5;779.2;5.56;24918;Fallout4;13.217.908;no;
07-19;14018.3;1076.6;8.32;25568;Fallout4;13.216.420;si;
06-19;12941.6;1708.3;15.21;20831;Fallout4;13.214.926;si;
05-19;11233.3;922.8;8.95;19712;Fallout4;13.213.610;si;
04-19;10310.6;-1289.1;-11.11;17822;Fallout4;13.212.192;no;
03-19;11599.7;-401.6;-3.35;19879;Fallout4;13.210.725;no;
02-19;12001.2;-2081.5;-14.78;20610;Fallout4;13.209.434;no;
01-19;14082.7;-2888.4;-17.02;25206;Fallout4;13.208.055;no;
12-18;16971.1;-1962.8;-10.37;31485;Fallout4;13.206.577;no;
11-18;18933.9;380.8;2.05;33389;Fallout4;13.205.295;no;
10-18;18553.1;1974.1;11.91;36389;Fallout4;13.203.947;si;
09-18;16579;-2212.2;-11.77;28436;Fallout4;13.202.601;no;
08-18;18791.2;-4679.1;-19.94;32239;Fallout4;13.201.254;no;
07-18;23470.3;-2051.5;-8.04;43476;Fallout4;13.199.874;no;
06-18;25521.9;10460.6;69.45;47573;Fallout4;13.198.426;si;
05-18;15061.2;85;0.57;25653;Fallout4;13.196.999;no;
04-18;14976.2;-2171.3;-12.66;26203;Fallout4;13.195.639;no;
03-18;17147.5;-4444.9;-20.59;30503;Fallout4;13.194.432;no;
02-18;21592.5;743.6;3.57;45111;Fallout4;13.193.223;si;
01-18;20848.8;846.6;4.23;37190;Fallout4;13.191.749;si;
12-17;20002.3;1634.6;8.9;34512;Fallout4;13.190.531;si;
11-17;18367.6;-351.4;-1.88;33736;Fallout4;13.189.250;no;
10-17;18719;474.7;2.6;35886;Fallout4;13.187.852;si;
09-17;18244.3;-504.2;-2.69;31836;Fallout4;13.186.397;no;
08-17;18748.5;-2943.6;-13.57;32696;Fallout4;13.185.102;no;
07-17;21692.1;-90.7;-0.42;36800;Fallout4;13.183.751;no;
06-17;21782.8;2846.7;15.03;38111;Fallout4;13.182.542;no;
05-17;18936.1;2089.2;12.4;49675;Fallout4;13.181.148;si;
04-17;16846.9;-52;-0.31;29010;Fallout4;13.179.839;no;
03-17;16898.9;-2675;-13.67;31843;Fallout4;13.178.621;no;
02-17;19573.9;-3236;-14.19;34587;Fallout4;13.177.228;no;
01-17;22809.9;1751.1;8.32;41471;Fallout4;13.175.732;si;
12-16;21058.8;1360.3;6.91;37794;Fallout4;13.174.387;no;
11-16;19698.4;-1087.6;-5.23;40096;Fallout4;13.172.973;si;
10-16;20786;-3608.1;-14.79;39948;Fallout4;13.171.729;no;
09-16;24394.1;735.9;3.11;48954;Fallout4;13.170.287;si;
08-16;23658.2;-699.1;-2.87;45998;Fallout4;13.168.990;si;
07-16;24357.3;-874.7;-3.47;41541;Fallout4;13.167.555;no;
06-16;25232;-4294.4;-14.54;45855;Fallout4;13.166.066;no;
05-16;29526.4;2964.8;11.16;74283;Fallout4;13.164.569;si;
04-16;26561.6;-1964.9;-6.89;52480;Fallout4;13.163.270;no;
03-16;28526.5;-4206.7;-12.85;57102;Fallout4;13.161.802;no;
02-16;32733.2;-22093.3;-40.3;61739;Fallout4;13.160.418;no;
01-16;54826.5;-39309.9;-41.76;119272;Fallout4;13.159.211;no;
12-15;94136.4;-132161.5;-58.4;201635;Fallout4;13.157.752;no;
11-15;226297.8;-;-;471955;Fallout4;13.156.411;si;
09-21;7496.7;-1120.1;-0.13;16944;Among us;15.403.866;no;
08-21;8616.9;58.1;0.68;17436;Among us;15.402.622;no;
07-21;8558.7;-1049.4;-10.92;19576;Among us;15.401.343;no;
06-21;9608.1;-1735.5;-15.3;21992;Among us;15.399.915;no;
05-21;11343.5;-8405.7;-42.56;28242;Among us;15.398.467;no;
04-21;19749.3;3258.7;19.76;97580;Among us;15.397.140;no;
03-21;16490.5;-7995;-32.65;130138;Among us;15.395.892;si;
02-21;24485.5;-17521.7;-41.71;75133;Among us;15.394.620;no;
01-21;42007.2;-24531.3;-36.87;118868;Among us;15.393.298;no;
12-20;66538.5;-47805.8;-41.81;181843;Among us;15.391.989;no;
11-20;114344.4;-62109.5;-35.2;336108;Among us;15.390.686;no;
10-20;176453.9;25073.6;16.56;372646;Among us;15.389.258;no;
09-20;151380.3;132660.5;708.66;438524;Among us;15.387.938;si;
08-20;18719.8;16613.8;788.86;73159;Among us;15.386.534;si;
07-20;2106;1489.6;241.67;6771;Among us;15.385.138;si;
06-20;616.4;127.5;26.08;2848;Among us;15.383.886;si;
05-20;488.9;167.7;52.23;1234;Among us;15.382.480;si;
04-20;321.1;87.7;37.58;850;Among us;15.381.034;si;
03-20;233.4;13.3;6.04;711;Among us;15.379.611;no;
02-20;220.1;102.5;87.12;859;Among us;15.378.128;si;
01-20;117.6;37;45.92;271;Among us;15.376.686;si;
12-19;80.6;-10.7;-11.68;192;Among us;15.375.238;no;
11-19;91.3;-10.2;-10.03;262;Among us;15.373.814;no;
10-19;101.5;-64.8;-38.99;277;Among us;15.372.444;no;
09-19;166.3;-59.6;-26.39;431;Among us;15.371.083;no;
08-19;225.9;39.7;21.33;676;Among us;15.369.846;si;
07-19;186.2;111.3;148.74;556;Among us;15.368.410;si;
06-19;74.8;66.7;814.68;209;Among us;15.367.162;si;
05-19;8.2;1;13.89;29;Among us;15.365.915;si;
04-19;7.2;2.7;59.84;26;Among us;15.364.426;si;
03-19;4.5;-0.9;-16.23;25;Among us;15.363.147;no;
02-19;5.4;0.7;15.46;26;Among us;15.361.741;no;
01-19;4.7;2.1;81.12;37;Among us;15.360.457;si;
12-18;2.6;0.3;13.81;17;Among us;15.359.171;no;
11-18;2.3;-;-;19;Among us;15.357.686;no;
09-21;173057.8;-11770.6;-6.37;400709;PUBG: BATTLEGROUNDS;47.746.479;no;
08-21;184828.4;-1421.6;-0.76;444355;PUBG: BATTLEGROUNDS;47.745.092;si;
07-21;186250;6911.7;3.85;413274;PUBG: BATTLEGROUNDS;47.743.663;no;
06-21;179338.3;-5362.9;-2.9;427913;PUBG: BATTLEGROUNDS;47.742.406;si;
05-21;184701.2;-1409.4;-0.76;419509;PUBG: BATTLEGROUNDS;47.740.977;no;
04-21;186110.6;-7003.5;-3.63;453579;PUBG: BATTLEGROUNDS;47.739.672;no;
03-21;193114.2;-5843.3;-2.94;464480;PUBG: BATTLEGROUNDS;47.738.334;si;
02-21;198957.5;-2289.7;-1.14;447390;PUBG: BATTLEGROUNDS;47.736.903;no;
01-21;201247.2;12013.6;6.35;451998;PUBG: BATTLEGROUNDS;47.735.457;si;
12-20;189233.6;9713.3;5.41;444680;PUBG: BATTLEGROUNDS;47.734.012;si;
11-20;179520.3;16934.6;10.42;438919;PUBG: BATTLEGROUNDS;47.732.650;si;
10-20;162585.6;-6508.1;-3.85;381079;PUBG: BATTLEGROUNDS;47.731.361;no;
09-20;169093.7;-23398.9;-12.16;403693;PUBG: BATTLEGROUNDS;47.729.926;no;
08-20;192492.6;-19207.7;-9.07;443390;PUBG: BATTLEGROUNDS;47.728.499;no;
07-20;211700.3;-18629.4;-8.09;469568;PUBG: BATTLEGROUNDS;47.727.239;no;
06-20;230329.7;-12929;-5.31;546359;PUBG: BATTLEGROUNDS;47.726.033;no;
05-20;243258.8;411.5;0.17;553121;PUBG: BATTLEGROUNDS;47.724.593;no;
04-20;242847.3;14380.1;6.29;913075;PUBG: BATTLEGROUNDS;47.723.380;si;
03-20;228467.2;-29117.2;-11.3;562028;PUBG: BATTLEGROUNDS;47.722.096;no;
02-20;257584.3;-17778.7;-6.46;606689;PUBG: BATTLEGROUNDS;47.720.599;no;
01-20;275363;-33082.4;-10.73;645414;PUBG: BATTLEGROUNDS;47.719.302;no;
12-19;308445.5;2786.1;0.91;686239;PUBG: BATTLEGROUNDS;47.717.853;no;
11-19;305659.4;18526;6.45;695920;PUBG: BATTLEGROUNDS;47.716.547;si;
10-19;287133.4;-24310.9;-7.81;637870;PUBG: BATTLEGROUNDS;47.715.285;no;
09-19;311444.3;-47086.7;-13.13;660864;PUBG: BATTLEGROUNDS;47.713.915;no;
08-19;358531;5642.1;1.6;750941;PUBG: BATTLEGROUNDS;47.712.487;si;
07-19;352888.9;-10194.5;-2.81;745224;PUBG: BATTLEGROUNDS;47.711.104;no;
06-19;363083.4;-22757.2;-5.9;745960;PUBG: BATTLEGROUNDS;47.709.704;no;
05-19;385840.6;-4260.3;-1.09;817595;PUBG: BATTLEGROUNDS;47.708.225;no;
04-19;390100.9;-27711.6;-6.63;886255;PUBG: BATTLEGROUNDS;47.706.766;no;
03-19;417812.5;-20146.6;-4.6;931407;PUBG: BATTLEGROUNDS;47.705.550;no;
02-19;437959.1;-59844.2;-12.02;931754;PUBG: BATTLEGROUNDS;47.704.093;no;
01-19;497803.3;24262;5.12;1084606;PUBG: BATTLEGROUNDS;47.702.688;no;
12-18;473541.3;55381.8;13.24;1109766;PUBG: BATTLEGROUNDS;47.701.356;si;
11-18;418159.5;-50982.3;-10.87;895650;PUBG: BATTLEGROUNDS;47.699.919;no;
10-18;469141.7;-73465.3;-13.54;1048662;PUBG: BATTLEGROUNDS;47.698.617;no;
09-18;542607.1;-76713.4;-12.39;1125229;PUBG: BATTLEGROUNDS;47.697.175;no;
08-18;619320.5;-69299.9;-10.06;1260894;PUBG: BATTLEGROUNDS;47.695.684;no;
07-18;688620.4;-112047.8;-13.99;1350463;PUBG: BATTLEGROUNDS;47.694.258;no;
06-18;800668.2;-75512.4;-8.62;1750216;PUBG: BATTLEGROUNDS;47.692.938;no;
05-18;876180.6;-231001.2;-20.86;2175704;PUBG: BATTLEGROUNDS;47.691.569;no;
04-18;1107181.8;-188226.8;-14.53;2456361;PUBG: BATTLEGROUNDS;47.690.198;no;
03-18;1295408.6;-95606.7;-6.87;2799269;PUBG: BATTLEGROUNDS;47.688.937;no;
02-18;1391015.3;-193871.5;-12.23;2934761;PUBG: BATTLEGROUNDS;47.687.586;no;
01-18;1584886.8;148728.3;10.36;3236027;PUBG: BATTLEGROUNDS;47.686.137;si;
12-17;1436158.5;101988.4;7.64;3080769;PUBG: BATTLEGROUNDS;47.684.743;si;
11-17;1334170.1;247531.2;22.78;2915723;PUBG: BATTLEGROUNDS;47.683.433;si;
10-17;1086638.9;426446.1;64.59;2390946;PUBG: BATTLEGROUNDS;47.681.969;si;
09-17;660192.7;270665.3;69.49;1550463;PUBG: BATTLEGROUNDS;47.680.712;si;
08-17;389527.4;159825.7;69.58;874171;PUBG: BATTLEGROUNDS;47.679.502;si;
07-17;229701.7;89799.5;64.19;481291;PUBG: BATTLEGROUNDS;47.678.066;si;
06-17;139902.2;32460.6;30.21;267194;PUBG: BATTLEGROUNDS;47.676.716;si;
05-17;107441.6;37646.6;53.94;189456;PUBG: BATTLEGROUNDS;47.675.434;si;
04-17;69795;52243.8;297.67;140104;PUBG: BATTLEGROUNDS;47.674.121;si;
03-17;17551.1;-;-;67846;PUBG: BATTLEGROUNDS;47.672.853;si;
09-21;93.3;31.7;51.55;1648;The Descendant;7.729.517;si;
08-21;61.5;-48.2;-43.91;1012;The Descendant;7.728.047;no;
07-21;109.7;-156.5;-58.78;2814;The Descendant;7.726.789;no;
06-21;266.2;173.7;187.85;11813;The Descendant;7.725.554;si;
05-21;92.5;19.4;26.55;2074;The Descendant;7.724.113;si;
04-21;73.1;-23.6;-24.42;491;The Descendant;7.722.758;no;
03-21;96.7;7.9;8.89;754;The Descendant;7.721.539;no;
02-21;88.8;-28.8;-24.51;1322;The Descendant;7.720.110;no;
01-21;117.6;-136.4;-53.7;1326;The Descendant;7.718.827;no;
12-20;254;112.8;79.83;4331;The Descendant;7.717.515;si;
11-20;141.2;-4.9;-3.37;2259;The Descendant;7.716.169;no;
10-20;146.2;-25.8;-15.02;2973;The Descendant;7.714.808;si;
09-20;172;12.3;7.7;2137;The Descendant;7.713.427;si;
08-20;159.7;30.6;23.7;1099;The Descendant;7.711.951;no;
07-20;129.1;-5.4;-3.99;1234;The Descendant;7.710.651;si;
06-20;134.5;61.8;85.05;1198;The Descendant;7.709.312;si;
05-20;72.7;23;46.38;654;The Descendant;7.707.957;si;
04-20;49.6;9.8;24.72;411;The Descendant;7.706.723;no;
03-20;39.8;13.4;50.59;459;The Descendant;7.705.371;si;
02-20;26.4;-22.7;-46.22;293;The Descendant;7.704.017;si;
01-20;49.1;-13;-20.96;280;The Descendant;7.702.674;no;
12-19;62.2;33.9;119.65;933;The Descendant;7.701.225;si;
11-19;28.3;-4.4;-13.39;343;The Descendant;7.699.902;no;
10-19;32.7;17.2;111.27;589;The Descendant;7.698.573;si;
09-19;15.5;-20.7;-57.18;188;The Descendant;7.697.264;no;
08-19;36.1;-49.5;-57.82;1943;The Descendant;7.695.773;no;
07-19;85.7;-108.5;-55.89;4973;The Descendant;7.694.277;si;
06-19;194.2;-109;-35.96;3952;The Descendant;7.692.971;no;
05-19;303.2;225.3;288.98;10412;The Descendant;7.691.737;si;
04-19;78;11.7;17.67;845;The Descendant;7.690.419;no;
03-19;66.2;-1.1;-1.57;1259;The Descendant;7.688.938;no;
02-19;67.3;-22.3;-24.89;4575;The Descendant;7.687.670;si;
01-19;89.6;-152.5;-62.99;1205;The Descendant;7.686.283;no;
12-18;242.1;87.5;56.58;3527;The Descendant;7.684.907;si;
11-18;154.6;64.1;70.86;3275;The Descendant;7.683.676;si;
10-18;90.5;11.6;14.68;1952;The Descendant;7.682.445;no;
09-18;78.9;-33.3;-29.67;1976;The Descendant;7.680.982;no;
08-18;112.2;55.2;96.69;4150;The Descendant;7.679.631;si;
07-18;57;-62.1;-52.13;600;The Descendant;7.678.191;no;
06-18;119.2;19.8;19.89;1096;The Descendant;7.676.880;no;
05-18;99.4;-12.2;-10.96;1487;The Descendant;7.675.672;no;
04-18;111.6;-18.6;-14.28;1898;The Descendant;7.674.244;no;
03-18;130.2;-3.3;-2.47;2910;The Descendant;7.672.909;si;
02-18;133.5;17.3;14.86;1312;The Descendant;7.671.653;no;
01-18;116.3;-29.1;-0.2;2628;The Descendant;7.670.404;no;
12-17;145.3;76.6;111.53;3923;The Descendant;7.669.057;si;
11-17;68.7;-5;-6.8;688;The Descendant;7.667.746;no;
10-17;73.7;-35.2;-32.3;917;The Descendant;7.666.509;no;
09-17;108.9;44.3;68.56;2611;The Descendant;7.665.036;si;
08-17;64.6;-0.8;-1.2;1284;The Descendant;7.663.778;no;
07-17;65.4;-45.8;-41.16;1488;The Descendant;7.662.574;no;
06-17;111.1;21.9;24.61;1691;The Descendant;7.661.231;si;
05-17;89.2;-18.8;-17.4;1247;The Descendant;7.659.942;no;
04-17;108;-159;-59.56;1549;The Descendant;7.658.715;no;
03-17;267;265.8;22524.38;8338;The Descendant;7.657.224;si;
02-17;1.2;-0.8;-41.27;7;The Descendant;7.655.848;no;
01-17;2;-1.6;-44.42;9;The Descendant;7.654.440;no;
12-16;3.6;0.9;31.73;13;The Descendant;7.653.159;no;
11-16;2.7;-0.8;-21.54;13;The Descendant;7.651.822;no;
10-16;3.5;1.3;59.46;15;The Descendant;7.650.584;si;
09-16;2.2;-4.9;-69.06;13;The Descendant;7.649.257;no;
08-16;7.1;5;246.13;55;The Descendant;7.647.861;si;
07-16;2;0.9;77.69;17;The Descendant;7.646.390;si;
06-16;1.1;-0.4;-25.94;8;The Descendant;7.645.103;no;
05-16;1.6;0.8;94.63;13;The Descendant;7.643.756;si;
04-16;0.8;-0.8;-48.26;9;The Descendant;7.642.479;no;
03-16;1.6;1.4;877.06;18;The Descendant;7.641.165;si;
02-16;0.2;-;-;4;The Descendant;7.639.685;no;
09-21;7759.5;-992.6;-11.34;12071;Fallout 76;13.251.742;no;
08-21;8752.1;-241.1;-2.68;16174;Fallout 76;13.250.447;si;
07-21;8993.2;1126.7;14.32;15245;Fallout 76;13.249.060;no;
